,fields.date,objet_jour
0,2019-01-01,5
1,2019-01-02,90
2,2019-01-03,107
3,2019-01-04,84
4,2019-01-05,78
5,2019-01-06,54
6,2019-01-07,119
7,2019-01-08,57
8,2019-01-09,59
9,2019-01-10,72
10,2019-01-11,61
11,2019-01-12,34
12,2019-01-13,2
13,2019-01-14,94
14,2019-01-15,90
15,2019-01-16,78
16,2019-01-17,60
17,2019-01-18,71
18,2019-01-19,55
19,2019-01-20,49
20,2019-01-21,129
21,2019-01-22,68
22,2019-01-23,73
23,2019-01-24,59
24,2019-01-25,79
25,2019-01-26,54
26,2019-01-27,10
27,2019-01-28,81
28,2019-01-29,80
29,2019-01-30,82
30,2019-01-31,71
31,2019-02-01,67
32,2019-02-02,58
33,2019-02-03,17
34,2019-02-04,122
35,2019-02-05,93
36,2019-02-06,75
37,2019-02-07,80
38,2019-02-08,83
39,2019-02-09,62
40,2019-02-10,18
41,2019-02-11,111
42,2019-02-12,121
43,2019-02-13,91
44,2019-02-14,82
45,2019-02-15,76
46,2019-02-16,77
47,2019-02-17,3
48,2019-02-18,88
49,2019-02-19,131
50,2019-02-20,94
51,2019-02-21,54
52,2019-02-22,72
53,2019-02-23,41
54,2019-02-24,13
55,2019-02-25,92
56,2019-02-26,142
57,2019-02-27,98
58,2019-02-28,66
59,2019-03-01,79
60,2019-03-02,70
61,2019-03-03,6
62,2019-03-04,122
63,2019-03-05,146
64,2019-03-06,62
65,2019-03-07,88
66,2019-03-08,60
67,2019-03-09,53
68,2019-03-10,9
69,2019-03-11,94
70,2019-03-12,93
71,2019-03-13,64
72,2019-03-14,77
73,2019-03-15,62
74,2019-03-16,37
75,2019-03-17,3
76,2019-03-18,114
77,2019-03-19,148
78,2019-03-20,84
79,2019-03-21,114
80,2019-03-22,65
81,2019-03-23,39
82,2019-03-24,23
83,2019-03-25,99
84,2019-03-26,111
85,2019-03-27,87
86,2019-03-28,111
87,2019-03-29,55
88,2019-03-30,65
89,2019-03-31,11
90,2019-04-01,104
91,2019-04-02,94
92,2019-04-03,65
93,2019-04-04,80
94,2019-04-05,56
95,2019-04-06,109
96,2019-04-07,1
97,2019-04-08,67
98,2019-04-09,98
99,2019-04-10,93
100,2019-04-11,67
101,2019-04-12,66
102,2019-04-13,80
103,2019-04-14,27
104,2019-04-15,123
105,2019-04-16,110
106,2019-04-17,99
107,2019-04-18,69
108,2019-04-19,55
109,2019-04-20,84
110,2019-04-21,6
111,2019-04-22,23
112,2019-04-23,97
113,2019-04-24,110
114,2019-04-25,113
115,2019-04-26,92
116,2019-04-27,94
117,2019-04-28,14
118,2019-04-29,74
119,2019-04-30,88
120,2019-05-01,38
121,2019-05-02,79
122,2019-05-03,107
123,2019-05-04,82
124,2019-05-05,18
125,2019-05-06,101
126,2019-05-07,99
127,2019-05-08,109
128,2019-05-09,103
129,2019-05-10,61
130,2019-05-11,35
131,2019-05-12,12
132,2019-05-13,88
133,2019-05-14,68
134,2019-05-15,79
135,2019-05-16,93
136,2019-05-17,111
137,2019-05-18,75
138,2019-05-19,5
139,2019-05-20,101
140,2019-05-21,139
141,2019-05-22,77
142,2019-05-23,70
143,2019-05-24,81
144,2019-05-25,51
145,2019-05-26,33
146,2019-05-27,127
147,2019-05-28,81
148,2019-05-29,90
149,2019-05-30,36
150,2019-05-31,66
151,2019-06-01,63
152,2019-06-02,7
153,2019-06-03,136
154,2019-06-04,100
155,2019-06-05,83
156,2019-06-06,107
157,2019-06-07,86
158,2019-06-08,65
159,2019-06-09,11
160,2019-06-10,45
161,2019-06-11,104
162,2019-06-12,134
163,2019-06-13,104
164,2019-06-14,103
165,2019-06-15,53
166,2019-06-16,11
167,2019-06-17,119
168,2019-06-18,89
169,2019-06-19,65
170,2019-06-20,103
171,2019-06-21,94
172,2019-06-22,82
173,2019-06-23,21
174,2019-06-24,155
175,2019-06-25,63
176,2019-06-26,76
177,2019-06-27,96
178,2019-06-28,115
179,2019-06-29,53
180,2019-06-30,21
181,2019-07-01,112
182,2019-07-02,122
183,2019-07-03,89
184,2019-07-04,98
185,2019-07-05,133
186,2019-07-06,52
187,2019-07-07,15
188,2019-07-08,168
189,2019-07-09,113
190,2019-07-10,102
191,2019-07-11,70
192,2019-07-12,85
193,2019-07-13,44
194,2019-07-14,13
195,2019-07-15,120
196,2019-07-16,154
197,2019-07-17,101
198,2019-07-18,117
199,2019-07-19,92
200,2019-07-20,80
201,2019-07-21,22
202,2019-07-22,109
203,2019-07-23,97
204,2019-07-24,71
205,2019-07-25,43
206,2019-07-26,116
207,2019-07-27,83
208,2019-07-28,12
209,2019-07-29,79
210,2019-07-30,57
211,2019-07-31,104
212,2019-08-01,76
213,2019-08-02,74
214,2019-08-03,48
215,2019-08-04,8
216,2019-08-05,97
217,2019-08-06,99
218,2019-08-07,69
219,2019-08-08,72
220,2019-08-09,98
221,2019-08-10,97
222,2019-08-11,30
223,2019-08-12,112
224,2019-08-13,68
225,2019-08-14,82
226,2019-08-15,94
227,2019-08-16,66
228,2019-08-17,110
229,2019-08-18,10
230,2019-08-19,123
231,2019-08-20,72
232,2019-08-21,82
233,2019-08-22,78
234,2019-08-23,108
235,2019-08-24,79
236,2019-08-25,20
237,2019-08-26,92
238,2019-08-27,116
239,2019-08-28,120
240,2019-08-29,101
241,2019-08-30,93
242,2019-08-31,70
243,2019-09-01,3
244,2019-09-02,98
245,2019-09-03,113
246,2019-09-04,109
247,2019-09-05,118
248,2019-09-06,84
249,2019-09-07,68
250,2019-09-08,4
251,2019-09-09,83
252,2019-09-10,110
253,2019-09-11,77
254,2019-09-12,88
255,2019-09-13,67
256,2019-09-14,52
257,2019-09-15,12
258,2019-09-16,75
259,2019-09-17,119
260,2019-09-18,96
261,2019-09-19,80
262,2019-09-20,173
263,2019-09-21,90
264,2019-09-22,31
265,2019-09-23,54
266,2019-09-24,70
267,2019-09-25,104
268,2019-09-26,77
269,2019-09-27,72
270,2019-09-28,71
271,2019-09-29,14
272,2019-09-30,81
273,2019-10-01,90
274,2019-10-02,61
275,2019-10-03,80
276,2019-10-04,60
277,2019-10-05,36
278,2019-10-06,11
279,2019-10-07,134
280,2019-10-08,82
281,2019-10-09,132
282,2019-10-10,68
283,2019-10-11,93
284,2019-10-12,56
285,2019-10-13,10
286,2019-10-14,102
287,2019-10-15,75
288,2019-10-16,88
289,2019-10-17,93
290,2019-10-18,47
291,2019-10-19,44
292,2019-10-20,12
293,2019-10-21,121
294,2019-10-22,82
295,2019-10-23,91
296,2019-10-24,125
297,2019-10-25,62
298,2019-10-26,54
299,2019-10-27,29
300,2019-10-28,68
301,2019-10-29,65
302,2019-10-30,87
303,2019-10-31,103
304,2019-11-01,94
305,2019-11-02,58
306,2019-11-03,6
307,2019-11-04,75
308,2019-11-05,63
309,2019-11-06,102
310,2019-11-07,116
311,2019-11-08,80
312,2019-11-09,152
313,2019-11-10,45
314,2019-11-11,51
315,2019-11-12,42
316,2019-11-13,59
317,2019-11-14,92
