fields.date,fields.gc_obo_gare_origine_r_name,fields.gc_obo_type_c
52,Paris Bercy,"Bagagerie: sacs, valises, cartables"
52,Paris Bercy,Pièces d'identités et papiers personnels
52,Paris Bercy,"Bagagerie: sacs, valises, cartables"
52,Paris Bercy,Optique
51,Paris Bercy,"Bagagerie: sacs, valises, cartables"
51,Paris Bercy,"Bagagerie: sacs, valises, cartables"
51,Paris Bercy,"Bagagerie: sacs, valises, cartables"
51,Paris Bercy,"Clés, porte-clés, badge magnétique"
51,Paris Bercy,"Bagagerie: sacs, valises, cartables"
51,Paris Bercy,"Appareils électroniques, informatiques, appareils photo"
51,Paris Bercy,"Bagagerie: sacs, valises, cartables"
51,Paris Bercy,"Appareils électroniques, informatiques, appareils photo"
51,Paris Bercy,"Appareils électroniques, informatiques, appareils photo"
51,Paris Bercy,"Clés, porte-clés, badge magnétique"
50,Paris Bercy,"Appareils électroniques, informatiques, appareils photo"
50,Paris Bercy,"Vélos, trottinettes, accessoires 2 roues"
50,Paris Bercy,"Vélos, trottinettes, accessoires 2 roues"
50,Paris Bercy,"Bagagerie: sacs, valises, cartables"
50,Paris Bercy,Divers
49,Paris Bercy,"Porte-monnaie / portefeuille, argent, titres"
49,Paris Bercy,"Bagagerie: sacs, valises, cartables"
48,Paris Bercy,Pièces d'identités et papiers personnels
48,Paris Bercy,"Clés, porte-clés, badge magnétique"
47,Paris Bercy,"Bagagerie: sacs, valises, cartables"
47,Paris Bercy,"Appareils électroniques, informatiques, appareils photo"
47,Paris Bercy,Divers
47,Paris Bercy,"Bagagerie: sacs, valises, cartables"
47,Paris Bercy,"Clés, porte-clés, badge magnétique"
47,Paris Bercy,"Bagagerie: sacs, valises, cartables"
46,Paris Bercy,"Bagagerie: sacs, valises, cartables"
46,Paris Bercy,"Appareils électroniques, informatiques, appareils photo"
46,Paris Bercy,"Clés, porte-clés, badge magnétique"
46,Paris Bercy,Divers
45,Paris Bercy,"Porte-monnaie / portefeuille, argent, titres"
45,Paris Bercy,"Bagagerie: sacs, valises, cartables"
45,Paris Bercy,"Bagagerie: sacs, valises, cartables"
45,Paris Bercy,"Bagagerie: sacs, valises, cartables"
43,Paris Bercy,"Bagagerie: sacs, valises, cartables"
43,Paris Bercy,"Bagagerie: sacs, valises, cartables"
43,Paris Bercy,"Bagagerie: sacs, valises, cartables"
43,Paris Bercy,"Bagagerie: sacs, valises, cartables"
43,Paris Bercy,"Bagagerie: sacs, valises, cartables"
42,Paris Bercy,"Bagagerie: sacs, valises, cartables"
42,Paris Bercy,Pièces d'identités et papiers personnels
42,Paris Bercy,"Appareils électroniques, informatiques, appareils photo"
42,Paris Bercy,"Clés, porte-clés, badge magnétique"
41,Paris Bercy,Pièces d'identités et papiers personnels
41,Paris Bercy,"Clés, porte-clés, badge magnétique"
41,Paris Bercy,"Bagagerie: sacs, valises, cartables"
41,Paris Bercy,"Bagagerie: sacs, valises, cartables"
41,Paris Bercy,Pièces d'identités et papiers personnels
41,Paris Bercy,"Porte-monnaie / portefeuille, argent, titres"
41,Paris Bercy,"Bagagerie: sacs, valises, cartables"
41,Paris Bercy,"Porte-monnaie / portefeuille, argent, titres"
41,Paris Bercy,"Bagagerie: sacs, valises, cartables"
41,Paris Bercy,"Bagagerie: sacs, valises, cartables"
41,Paris Bercy,"Bagagerie: sacs, valises, cartables"
41,Paris Bercy,"Clés, porte-clés, badge magnétique"
41,Paris Bercy,"Livres, articles de papéterie"
41,Paris Bercy,"Appareils électroniques, informatiques, appareils photo"
39,Paris Bercy,Divers
38,Paris Bercy,"Vêtements, chaussures"
38,Paris Bercy,"Appareils électroniques, informatiques, appareils photo"
38,Paris Bercy,"Bagagerie: sacs, valises, cartables"
38,Paris Bercy,"Clés, porte-clés, badge magnétique"
38,Paris Bercy,"Porte-monnaie / portefeuille, argent, titres"
37,Paris Bercy,Optique
37,Paris Bercy,"Appareils électroniques, informatiques, appareils photo"
37,Paris Bercy,"Vêtements, chaussures"
37,Paris Bercy,Pièces d'identités et papiers personnels
37,Paris Bercy,Divers
37,Paris Bercy,"Vêtements, chaussures"
37,Paris Bercy,"Porte-monnaie / portefeuille, argent, titres"
37,Paris Bercy,"Vêtements, chaussures"
36,Paris Bercy,"Vêtements, chaussures"
36,Paris Bercy,"Bagagerie: sacs, valises, cartables"
36,Paris Bercy,"Bagagerie: sacs, valises, cartables"
36,Paris Bercy,"Vêtements, chaussures"
36,Paris Bercy,"Appareils électroniques, informatiques, appareils photo"
36,Paris Bercy,"Bagagerie: sacs, valises, cartables"
35,Paris Bercy,"Vêtements, chaussures"
35,Paris Bercy,"Appareils électroniques, informatiques, appareils photo"
35,Paris Bercy,"Bagagerie: sacs, valises, cartables"
35,Paris Bercy,"Vélos, trottinettes, accessoires 2 roues"
35,Paris Bercy,"Porte-monnaie / portefeuille, argent, titres"
35,Paris Bercy,"Vêtements, chaussures"
35,Paris Bercy,"Bagagerie: sacs, valises, cartables"
34,Paris Bercy,"Bagagerie: sacs, valises, cartables"
34,Paris Bercy,Optique
34,Paris Bercy,"Porte-monnaie / portefeuille, argent, titres"
34,Paris Bercy,"Porte-monnaie / portefeuille, argent, titres"
