fields.date,fields.gc_obo_gare_origine_r_name,fields.gc_obo_type_c
52,Paris Bercy,Divers
52,Paris Bercy,"Bagagerie: sacs, valises, cartables"
52,Paris Bercy,"Clés, porte-clés, badge magnétique"
52,Paris Bercy,"Bagagerie: sacs, valises, cartables"
52,Paris Bercy,"Bagagerie: sacs, valises, cartables"
52,Paris Bercy,"Appareils électroniques, informatiques, appareils photo"
51,Paris Bercy,"Bagagerie: sacs, valises, cartables"
51,Paris Bercy,"Appareils électroniques, informatiques, appareils photo"
51,Paris Bercy,"Bagagerie: sacs, valises, cartables"
51,Paris Bercy,"Bagagerie: sacs, valises, cartables"
51,Paris Bercy,"Appareils électroniques, informatiques, appareils photo"
51,Paris Bercy,"Bagagerie: sacs, valises, cartables"
51,Paris Bercy,Divers
51,Paris Bercy,"Bagagerie: sacs, valises, cartables"
50,Paris Bercy,Pièces d'identités et papiers personnels
50,Paris Bercy,"Bagagerie: sacs, valises, cartables"
50,Paris Bercy,"Porte-monnaie / portefeuille, argent, titres"
50,Paris Bercy,"Bagagerie: sacs, valises, cartables"
50,Paris Bercy,"Bagagerie: sacs, valises, cartables"
50,Paris Bercy,"Bagagerie: sacs, valises, cartables"
49,Paris Bercy,"Bagagerie: sacs, valises, cartables"
49,Paris Bercy,"Bagagerie: sacs, valises, cartables"
49,Paris Bercy,"Bagagerie: sacs, valises, cartables"
49,Paris Bercy,"Bagagerie: sacs, valises, cartables"
49,Paris Bercy,Optique
48,Paris Bercy,"Appareils électroniques, informatiques, appareils photo"
48,Paris Bercy,"Clés, porte-clés, badge magnétique"
47,Paris Bercy,"Bagagerie: sacs, valises, cartables"
47,Paris Bercy,"Bagagerie: sacs, valises, cartables"
47,Paris Bercy,"Bagagerie: sacs, valises, cartables"
47,Paris Bercy,Articles médicaux
46,Paris Bercy,"Clés, porte-clés, badge magnétique"
46,Paris Bercy,"Bagagerie: sacs, valises, cartables"
46,Paris Bercy,"Appareils électroniques, informatiques, appareils photo"
46,Paris Bercy,Optique
46,Paris Bercy,"Bagagerie: sacs, valises, cartables"
46,Paris Bercy,Pièces d'identités et papiers personnels
46,Paris Bercy,"Bagagerie: sacs, valises, cartables"
46,Paris Bercy,"Bagagerie: sacs, valises, cartables"
45,Paris Bercy,"Bagagerie: sacs, valises, cartables"
45,Paris Bercy,"Porte-monnaie / portefeuille, argent, titres"
45,Paris Bercy,"Bagagerie: sacs, valises, cartables"
45,Paris Bercy,"Livres, articles de papéterie"
45,Paris Bercy,Optique
44,Paris Bercy,Pièces d'identités et papiers personnels
44,Paris Bercy,"Bagagerie: sacs, valises, cartables"
44,Paris Bercy,"Appareils électroniques, informatiques, appareils photo"
44,Paris Bercy,Pièces d'identités et papiers personnels
44,Paris Bercy,Pièces d'identités et papiers personnels
44,Paris Bercy,"Bagagerie: sacs, valises, cartables"
44,Paris Bercy,"Bagagerie: sacs, valises, cartables"
44,Paris Bercy,"Porte-monnaie / portefeuille, argent, titres"
44,Paris Bercy,"Bagagerie: sacs, valises, cartables"
44,Paris Bercy,"Bagagerie: sacs, valises, cartables"
44,Paris Bercy,"Bagagerie: sacs, valises, cartables"
44,Paris Bercy,"Porte-monnaie / portefeuille, argent, titres"
43,Paris Bercy,"Appareils électroniques, informatiques, appareils photo"
43,Paris Bercy,"Porte-monnaie / portefeuille, argent, titres"
43,Paris Bercy,"Bagagerie: sacs, valises, cartables"
42,Paris Bercy,"Appareils électroniques, informatiques, appareils photo"
42,Paris Bercy,"Bagagerie: sacs, valises, cartables"
41,Paris Bercy,"Bagagerie: sacs, valises, cartables"
41,Paris Bercy,"Bagagerie: sacs, valises, cartables"
41,Paris Bercy,Pièces d'identités et papiers personnels
41,Paris Bercy,"Clés, porte-clés, badge magnétique"
40,Paris Bercy,"Appareils électroniques, informatiques, appareils photo"
40,Paris Bercy,"Bagagerie: sacs, valises, cartables"
40,Paris Bercy,"Appareils électroniques, informatiques, appareils photo"
40,Paris Bercy,"Bagagerie: sacs, valises, cartables"
39,Paris Bercy,"Bagagerie: sacs, valises, cartables"
